date,temperature,temperature_min,temperature_max,wind_speed
1/1/14,11.6,0,21.9,5.9
1/2/14,4.2,-5.1,21.9,9.5
1/3/14,-1,-6,12,14.6
1/4/14,0.9,-14.1,21.9,4.1
1/5/14,17.9,6.1,30,3.2
1/6/14,38.5,26.6,48.9,7.5
1/7/14,21,8.1,50,14.6
1/8/14,10,3.9,28.9,10.4
1/9/14,16.5,3.9,26.1,4.3
1/10/14,15.5,3,30,3.3
1/11/14,34,28.9,46.9,4.1
1/12/14,45.3,28.9,51.1,11.1
1/13/14,37.1,28.9,51.1,6.7
1/14/14,42.4,28.9,45,7.9
1/15/14,37.9,28.9,45,4.2
1/16/14,32,27,45,3
1/17/14,36.2,27,41,2.8
1/18/14,30.2,25,41,3.5
1/19/14,30.4,25,33.1,6.5
1/20/14,30.9,27,37,8.8
1/21/14,12,1.9,37,7.5
1/22/14,9.2,1.9,17.1,12.4
1/23/14,8.4,-2.9,19,6.2
1/24/14,6.8,-2.9,19,5.2
1/25/14,20.1,-2.9,35.1,7.4
1/26/14,20.1,12,35.1,11.6
1/27/14,24.4,12,39.9,6.4
1/28/14,15.6,9,39.9,9.9
1/29/14,16,9,23,6.1
1/30/14,17.2,8.1,25,6.4
1/31/14,27.1,8.1,37.9,6.8
2/1/14,31.3,21,37.9,2.4
2/2/14,36.8,23,42.1,5.1
2/3/14,32.2,28,42.1,4.7
2/4/14,23.4,14,34,3.8
2/5/14,23.7,14,30.9,7.4
2/6/14,17.1,6.1,27,5.1
2/7/14,16,1,27,6.1
2/8/14,20.5,1,28.9,6.3
2/9/14,21,8.1,28.9,5.5
2/10/14,21.8,15.1,25,6.8
2/11/14,10.8,-6,25,4.8
2/12/14,11.9,-6,28.9,5.3
2/13/14,19.3,10,27,5.7
2/14/14,31.9,27,34,13.5
2/15/14,26.4,16,34,5
2/16/14,26.5,16,32,12.7
2/17/14,17.3,9,28.9,10.3
2/18/14,12.4,-2,25,4.6
2/19/14,24.8,-2,34,5.3
2/20/14,34.6,10,46.9,7.2
2/21/14,35.8,19.9,46.9,6.5
2/22/14,37.2,26.1,46,6.9
2/23/14,39.8,26.1,46.9,6.1
2/24/14,33.8,25,46.9,8.6
2/25/14,20.3,14,37.9,8.4
2/26/14,15.9,3.9,27,5.9
2/27/14,14.1,3,27,4.4
2/28/14,15.4,3,24.1,9.9
3/1/14,15.4,3,28.9,5.2
3/2/14,30.1,28,30.9,6
3/3/14,18.7,10.9,32,8.8
3/4/14,13.9,-2,26.1,4.6
3/5/14,19,15.1,26.1,6.5
3/6/14,15.8,1,30.9,4.8
3/7/14,19.7,1,34,5
3/8/14,29.5,17.1,46,3.6
3/9/14,30.1,16,46.9,5.6
3/10/14,29,23,36,4
3/11/14,37.5,26.1,48,6.2
3/12/14,35,30,48,5.6
3/13/14,22.4,15.1,37.9,15.6
3/14/14,18.5,5,33.1,6.6
3/15/14,38.9,32,48,7.7
3/16/14,30.6,19.9,48,12.4
3/17/14,17,10,37,5.9
3/18/14,21.2,10,32,4.1
3/19/14,27.6,10,37,3.9
3/20/14,37.3,33.1,46,8.4
3/21/14,37.2,32,46.9,12.4
3/22/14,30.9,19.9,41,6.6
3/23/14,32.6,19.9,41,9.9
3/24/14,19.8,10.9,37.9,10
3/25/14,21.9,9,35.1,6.4
3/26/14,29.3,26.1,34,15.1
3/27/14,26.5,16,39,11.7
3/28/14,38.3,34,46.9,6.5
3/29/14,42.9,32,50,5.7
3/30/14,37.1,32,50,13
3/31/14,34.5,32,39,16.2
4/1/14,40.4,32,50,12.8
4/2/14,34.2,26.1,50,3.8
4/3/14,36.8,25,50,4.7
4/4/14,35.8,25,50,5.8
4/5/14,40.9,25,53.1,10.3
4/6/14,42.1,30.9,53.1,10.1
4/7/14,42.4,28,55,4.4
4/8/14,45.2,28,55,6.4
4/9/14,44.9,32,53.1,8.4
4/10/14,38.9,26.1,53.1,8.9
4/11/14,51.9,42.1,69.1,8.7
4/12/14,55.8,42.1,69.1,8.2
4/13/14,45.4,39,66,6.4
4/14/14,48.1,37,64.9,7.2
4/15/14,52.1,37,64.9,12.7
4/16/14,38.2,28,55,12.2
4/17/14,31.6,21.9,41,7
4/18/14,33.9,21.9,42.1,4.7
4/19/14,42.4,24.1,57.9,7.9
4/20/14,41.3,28,57.9,8.1
4/21/14,43.9,28,55,7.9
4/22/14,48.8,34,60.1,5
4/23/14,50,39,60.1,7
4/24/14,47,39.9,59,17.8
4/25/14,48.7,37.9,60.1,10.2
4/26/14,43.6,37.9,60.1,5.9
4/27/14,42.8,39,53.1,5
4/28/14,46.6,39,57,10.9
4/29/14,44.8,39.9,57,10.8
4/30/14,41.1,39,48.9,7.6
5/1/14,45.2,39,57,6.6
5/2/14,54.4,39.9,66,6.6
5/3/14,53.6,39.9,66,7.2
5/4/14,50.7,39.9,64.9,6.3
5/5/14,52.2,39.9,63,10.9
5/6/14,50.6,39.9,63,7.8
5/7/14,51.4,37,64.9,8.3
5/8/14,53.4,37,68,5.4
5/9/14,48.9,39.9,68,5.2
5/10/14,55.5,46,73.9,3.6
5/11/14,67.7,48,75.9,9.3
5/12/14,65.2,48.9,81,6.2
5/13/14,50.5,46,73.9,7.4
5/14/14,48.4,43,55,6.8
5/15/14,54.9,45,66.9,5.7
5/16/14,58,48,66.9,8.2
5/17/14,57.9,52,68,10.4
5/18/14,56.5,48.2,68,6.8
5/19/14,53.6,45,69.1,9.2
5/20/14,57.2,45,69.1,9.5
